Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
119133,Groww Large Cap Fund,Groww Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,500,52.13,2026-07-17,34.6352,April - June 2026,INF666M01600,-,INF666M01600,2012-01-20,2012-02-03
154155,Parag Parikh Large Cap Fund,PPFAS Asset Management Pvt. Ltd.,Open Ended,Equity Scheme - Large Cap Fund,Parag Parikh Large Cap Fund - Direct Plan - Growth,1000,9.6867,2026-07-17,483.9308,April - June 2026,INF879O01332,-,INF879O01332,2026-01-19,
118269,Canara Robeco Large Cap Fund,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00,72.24,2026-07-17,,,INF760K01FR2,-,INF760K01FR2,2010-06-28,2010-07-27
118632,Nippon India Large Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,100 & in multiples of Rs. 1 thereafter,101.802,2026-07-17,17676.6112,April - June 2026,INF204K01XI3,-,INF204K01XI3,2007-06-12,2007-07-10
150440,quant Large Cap Fund,quant Money Managers Limited,Open Ended,Equity Scheme - Large Cap Fund,quant Large Cap Fund - Growth Option - Direct Plan,5000,17.1312,2026-07-17,,,INF966L01AT0,-,INF966L01AT0,2022-07-20,
120152,Kotak Large Cap Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Large Cap Fund,Kotak Large Cap  Fund - Growth - Direct,5000,662.425,2026-07-17,2722.9343,April - June 2026,INF174K01KW6,-,INF174K01KW6,1998-12-22,1998-12-22
120490,JM Large Cap Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,JM Large Cap Fund (Direct) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,177.476,2026-07-17,,,INF192K01BZ0,-,INF192K01BZ0,1995-04-01,
118633,Nippon India Large Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,100 & in multiples of Rs. 1 thereafter,101.802,2026-07-17,0.4503,April - June 2026,INF204K01D30,-,INF204K01D30,2007-06-12,2007-07-10
119250,DSP Large Cap Fund,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Large Cap Fund,DSP Large Cap Fund - Direct Plan - Growth,Rs. 1000/- & any amount thereafter,509.086,2026-07-17,1990.7084,April - June 2026,INF740K01PR3,-,INF740K01PR3,2003-02-10,2003-02-21
118479,BANDHAN LARGE CAP FUND,Bandhan AMC Limited,Open Ended,Equity Scheme - Large Cap Fund,BANDHAN Large Cap Fund-Direct Plan-Growth,Rs. 1000/-,90.912,2026-07-17,334.6954,April - June 2026,INF194K01Z44,-,INF194K01Z44,2006-04-19,
